Player,AVHL ID,22-23 SA,22-23 SV,22-23 SV%,23-24 SA,23-24 SV,23-24 SV%,24-25 SA,24-25 SV,24-25 SV%,25-26 SA,25-26 SV,25-26 SV%,Total SA,Total SV,Career SV%
Talyn Boyko,2079,0,0,0.000,65,56,0.862,0,0,0.000,0,0,0.000,65,56,0.862
Hugo Alnefelt,2080,0,0,0.000,56,53,0.946,0,0,0.000,0,0,0.000,56,53,0.946
Anton Khudobin,2081,0,0,0.000,53,47,0.887,0,0,0.000,0,0,0.000,53,47,0.887
Dryden McKay,2082,0,0,0.000,49,46,0.939,0,0,0.000,0,0,0.000,49,46,0.939
Jonathan Bernier,2083,23,20,0.870,26,26,1.000,0,0,0.000,0,0,0.000,49,46,0.939
Braden Holtby,2084,16,13,0.813,31,29,0.935,0,0,0.000,0,0,0.000,47,42,0.894
Adam Werner,2085,0,0,0.000,42,37,0.881,0,0,0.000,0,0,0.000,42,37,0.881
Mike Smith,2086,6,6,1.000,29,27,0.931,0,0,0.000,0,0,0.000,35,33,0.943
Garin Bjorklund,2087,0,0,0.000,36,32,0.889,0,0,0.000,0,0,0.000,36,32,0.889
Alex Stalock,2088,0,0,0.000,24,23,0.958,0,0,0.000,0,0,0.000,24,23,0.958
Beck Warm,2089,0,0,0.000,15,13,0.867,0,0,0.000,0,0,0.000,15,13,0.867
Garrett Sparks,2090,0,0,0.000,15,13,0.867,0,0,0.000,0,0,0.000,15,13,0.867
Keith Kinkaid,2091,0,0,0.000,11,8,0.727,0,0,0.000,0,0,0.000,11,8,0.727
