Date,Game #,Away Team,Home Team,Final Score,Series Score,
May 6,65,Las Vegas Vipers,San Fransisco Maniacs,5-4 (OT) SF,2-1 SF,
,66,Salt Lake City Scorpions,Madison Supernovas,3-2 SLC,2-1 SLC,
May 7,67,Richmond Robbers,Delaware Pilots,3-1 RCH,2-1 DEL,
,68,Jacksonville Blood Hounds,Atlanta Cobalts,4-3 ATL,3-0 ATL,
May 8,69,Las Vegas Vipers,San Fransisco Maniacs,5-4 (OT) SF,3-1 SF,
,70,Salt Lake City Scorpions,Madison Supernovas,4-3 (OT) SLC,3-1 SLC,
May 9,71,Richmond Robbers,Delaware Pilots,4-3 (OT) RCH,2-2 TIE,
,72,Jacksonville Blood Hounds,Atlanta Cobalts,7-2 JAX,3-1 ATL,
May 10,73,San Fransisco Maniacs,Las Vegas Vipers,2-1 (3OT) LV,3-2 SF,
,74,Madison Supernovas,Salt Lake City Scorpions,4-2 MAD,3-2 SLC,
May 11,75,Delaware Pilots,Richmond Robbers,7-2 RCH,3-2 RCH,
,76,Atlanta Cobalts,Jacksonville Blood Hounds,1-0 JAX,3-2 ATL,
May 12,77,Las Vegas Vipers,San Fransisco Maniacs,4-2 SF,4-2 SF,
,78,Salt Lake City Scorpions,Madison Supernovas,5-4 (OT) MAD,3-3 TIE,
May 13,79,Richmond Robbers,Delaware Pilots,4-1 DEL,3-3 TIE,
,80,Jacksonville Blood Hounds,Atlanta Cobalts,7-6 ATL,4-2 ATL,
May 14,81,San Fransisco Maniacs,Las Vegas Vipers,N/A,4-2 SF,
,82,Madison Supernovas,Salt Lake City Scorpions,4-3 SLC,4-3 SLC,
May 15,83,Delaware Pilots,Richmond Robbers,4-1 RCH,4-3 RCH,
,84,Atlanta Cobalts,Jacksonville Blood Hounds,N/A,4-2 ATL,
May 18,85,San Fransisco Maniacs,Salt Lake City Scorpions,4-3 SLC,1-0 SLC,
May 19,86,Atlanta Cobalts,Richmond Robbers,3-0 ATL,1-0 ATL,
May 20,87,San Fransisco Maniacs,Salt Lake City Scorpions,2-1 SLC,2-0 SLC,
May 21,88,Atlanta Cobalts,Richmond Robbers,3-1 RCH,1-1 TIE,
