Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Logan Cooley,0633,0,0,0,0,0,0,20,28,48,28,23,51,48,51,99
Nick Schmaltz,0634,22,13,35,19,31,50,12,35,47,24,17,41,77,96,173
Mikhail Sergachev,0635,3,14,17,5,34,39,7,33,40,10,35,45,25,116,141
John-Jason Peterka,0636,0,0,0,16,18,34,18,22,40,29,30,59,63,70,133
MacKenzie Weegar,0637,6,22,28,14,32,46,9,26,35,12,29,41,41,109,150
Sean Durzi,0638,0,0,0,12,26,38,8,26,34,7,46,53,27,98,125
John Marino,0639,5,24,29,8,23,31,10,23,33,6,23,29,29,93,122
Barrett Hayton,0640,4,3,7,23,12,35,16,18,34,19,33,52,62,66,128
Alexander Kerfoot,0641,14,20,34,13,31,44,14,34,48,9,18,27,50,103,153
Lawson Crouse,0642,2,2,4,14,28,42,22,27,49,14,18,32,52,75,127
Nate Schmidt,0643,2,22,24,9,26,35,5,23,28,8,5,13,24,76,100
Ian Cole,0644,0,0,0,10,13,23,5,9,14,7,17,24,22,39,61
Michael Carcone,0645,0,0,0,0,0,0,17,23,40,7,10,17,24,33,57
Jack McBain,0646,0,0,0,6,8,14,19,31,50,15,24,39,40,63,103
Kevin Stenlund,0647,4,6,10,4,11,15,17,16,33,12,18,30,37,51,88
Brandon Tanev,0648,6,11,17,14,16,30,4,19,23,22,26,48,46,72,118
Liam O'Brien,0649,0,0,0,5,7,12,0,0,0,6,7,13,11,14,25
Kailer Yamamoto,0650,12,21,33,19,34,53,13,26,39,0,0,0,44,81,125
Filip Hronek,0652,5,16,21,7,41,48,6,36,42,9,51,60,27,144,171
Elias Pettersson,0653,18,26,44,19,41,60,31,48,79,21,46,67,89,161,250
Marco Rossi,0654,0,0,0,13,11,24,11,30,41,35,39,74,59,80,139
Brock Boeser,0655,19,17,36,29,28,57,30,42,72,30,51,81,108,138,246
Marcus Pettersson,0656,2,9,11,6,19,25,9,23,32,5,17,22,22,68,90
Filip Chytil,0657,13,22,35,22,28,50,21,24,45,21,30,51,77,104,181
Jake DeBrusk,0658,9,7,16,22,20,42,15,35,50,18,21,39,64,83,147
Evander Kane,0659,12,19,31,29,30,59,30,16,46,29,27,56,100,92,192
Zeev Buium,0660,0,0,0,0,0,0,0,0,0,5,9,14,5,9,14
Drew O'Connor,0661,0,0,0,12,10,22,16,34,50,16,9,25,44,53,97
Teddy Blueger,0663,13,10,23,16,32,48,14,31,45,14,24,38,57,97,154
Nils Höglander,0664,14,13,27,20,23,43,12,26,38,15,16,31,61,78,139
Derek Forbort,0665,0,0,0,2,20,22,5,12,17,3,16,19,10,48,58
Max Sasson,0667,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11
Pierre-Oliver Joseph,0668,2,7,9,3,12,15,6,20,26,3,30,33,14,69,83
Aatu Räty,0669,0,0,0,7,7,14,0,0,0,0,0,0,7,7,14
Elias N. Pettersson,0670,0,0,0,0,0,0,0,0,0,1,8,9,1,8,9
Liam Öhgren,0671,0,0,0,0,0,0,9,14,23,9,10,19,18,24,42
Jack Eichel,0675,33,23,56,43,39,82,27,36,63,48,37,85,151,135,286
Mitchell Marner,0676,27,23,50,34,52,86,30,60,90,34,36,70,125,171,296
Mark Stone,0677,29,31,60,34,57,91,16,44,60,29,37,66,108,169,277
Shea Theodore,0678,6,29,35,11,29,40,11,35,46,12,33,45,40,126,166
Noah Hanifin,0679,1,24,25,7,31,38,14,28,42,16,31,47,38,114,152
Rasmus Andersson,0680,3,21,24,7,25,32,4,14,18,10,47,57,24,107,131
Ivan Barbashev,0681,24,11,35,19,27,46,19,30,49,6,37,43,68,105,173
Tomas Hertl,0682,19,25,44,23,46,69,26,34,60,28,29,57,96,134,230
Pavel Dorofeyev,0683,2,5,7,18,9,27,20,19,39,20,29,49,60,62,122
Brayden McNabb,0684,2,7,9,5,21,26,4,9,13,5,22,27,16,59,75
William Karlsson,0685,17,15,32,21,52,73,23,34,57,19,43,62,80,144,224
Kaedan Korczak,0686,0,0,0,0,0,0,0,0,0,3,13,16,3,13,16
Brett Howden,0687,6,6,12,13,13,26,9,12,21,16,17,33,44,48,92
Keegan Kolesar,0688,0,0,0,6,8,14,12,8,20,16,12,28,34,28,62
Reilly Smith,0689,17,21,38,16,33,49,21,36,57,20,31,51,74,121,195
Jeremy Lauzon,0690,0,3,3,6,14,20,7,16,23,3,23,26,16,56,72
Nic Dowd,0691,0,0,0,12,27,39,6,26,32,0,8,8,18,61,79
Colton Sissons,0692,9,10,19,11,27,38,16,22,38,20,25,45,56,84,140
Cole Smith,0694,3,1,4,8,12,20,7,10,17,8,28,36,26,51,77
Ben Hutton,0695,0,3,3,7,13,20,6,10,16,0,0,0,13,26,39
Brandon Saad,0696,16,17,33,19,34,53,28,14,42,7,16,23,70,81,151
Alex Pietrangelo,0697,6,16,22,14,57,71,10,29,39,21,38,59,51,140,191
Dylan Strome,0698,17,14,31,22,49,71,19,18,37,30,28,58,88,109,197
Alex Ovechkin,0699,23,22,45,34,48,82,37,29,66,41,43,84,135,142,277
Jakob Chychrun,0700,3,18,21,10,24,34,14,25,39,11,36,47,38,103,141
Tom Wilson,0701,17,18,35,18,32,50,18,34,52,23,32,55,76,116,192
Aliaksei Protas,0702,2,2,4,3,14,17,10,20,30,23,33,56,38,69,107
Pierre-Luc Dubois,0703,14,17,31,20,47,67,12,31,43,3,18,21,49,113,162
Martin Fehervary,0704,0,7,7,9,5,14,6,13,19,10,22,32,25,47,72
Rasmus Sandin,0705,1,12,13,19,26,45,5,17,22,8,26,34,33,81,114
Connor McMichael,0706,4,15,19,16,27,43,19,24,43,29,34,63,68,100,168
Matt Roy,0707,3,9,12,7,11,18,9,19,28,6,22,28,25,61,86
Timothy Liljegren,0708,1,10,11,3,18,21,3,22,25,2,9,11,9,59,68
Trevor van Riemsdyk,0709,0,0,0,5,9,14,7,7,14,1,5,6,13,21,34
Ryan Leonard,0710,0,0,0,0,0,0,0,0,0,8,21,29,8,21,29
Justin Sourdif,0711,0,0,0,6,5,11,0,0,0,0,0,0,6,5,11
Brandon Duhaime,0712,5,2,7,13,12,25,11,11,22,9,19,28,38,44,82
Anthony Beauvillier,0714,12,20,32,26,28,54,14,25,39,12,15,27,64,88,152
Declan Chisholm,0715,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9
Hendrix Lapierre,0716,0,0,0,0,0,0,9,10,19,4,12,16,13,22,35
David Kampf,0717,0,0,0,17,32,49,16,13,29,16,32,48,49,77,126
Ivan Miroshnichenko,0719,0,0,0,0,0,0,15,14,29,2,17,19,17,31,48
Kyle Connor,0721,25,22,47,25,34,59,33,33,66,30,33,63,113,122,235
Mark Scheifele,0722,13,21,34,32,48,80,24,33,57,37,41,78,106,143,249
Josh Morrissey,0723,9,19,28,6,31,37,11,36,47,19,48,67,45,134,179
Gabe Vilardi,0724,15,22,37,15,19,34,18,45,63,28,32,60,76,118,194
Dylan DeMelo,0725,0,0,0,4,20,24,5,15,20,6,27,33,15,62,77
Neal Pionk,0726,5,16,21,3,16,19,9,36,45,15,45,60,32,113,145
Adam Lowry,0727,11,12,23,13,26,39,8,21,29,21,23,44,53,82,135
Cole Perfetti,0728,6,14,20,10,20,30,23,25,48,29,33,62,68,92,160
Nino Niederreiter,0729,12,13,25,16,32,48,13,16,29,14,39,53,55,100,155
Dylan Samberg,0730,0,0,0,7,11,18,6,8,14,3,8,11,16,27,43
Alex Iafallo,0731,16,12,28,19,29,48,12,21,33,14,37,51,61,99,160
Gustav Nyquist,0732,24,18,42,15,33,48,28,38,66,20,37,57,87,126,213
Vladislav Namestnikov,0733,8,21,29,16,26,42,13,21,34,16,25,41,53,93,146
Jonathan Toews,0734,29,18,47,17,37,54,15,33,48,0,0,0,61,88,149
Morgan Barron,0735,0,0,0,7,3,10,13,13,26,9,15,24,29,31,60
Jacob Bryson,0736,0,7,7,3,10,13,3,10,13,5,17,22,11,44,55
Colin Miller,0737,1,9,10,10,28,38,3,9,12,5,6,11,19,52,71
Haydn Fleury,0738,4,15,19,5,28,33,8,13,21,3,18,21,20,74,94
Isak Rosén,0739,0,0,0,0,0,0,0,0,0,3,5,8,3,5,8
Cole Koepke,0740,0,0,0,7,7,14,0,0,0,9,9,18,16,16,32
Jack Thompson,0743,0,0,0,0,0,0,0,0,0,3,4,7,3,4,7
Jonathan Lekkerimäki,0744,0,0,0,0,0,0,0,0,0,8,9,17,8,9,17
Nils Åman,0747,0,0,0,14,10,24,13,11,24,0,0,0,27,21,48
Jujhar Khaira,0750,0,0,0,9,22,31,6,7,13,0,0,0,15,29,44
Nikolai Knyzhov,0753,0,0,0,4,9,13,6,7,13,0,0,0,10,16,26
Max Jones,0758,7,11,18,31,18,49,10,13,23,0,0,0,48,42,90
Josh Brown,0759,0,0,0,0,0,0,4,14,18,0,0,0,4,14,18
Alec Regula,0760,0,0,0,4,16,20,0,0,0,0,0,0,4,16,20
Roby Järventie,0766,0,0,0,15,13,28,0,0,0,0,0,0,15,13,28
Riley Stillman,0767,0,0,0,7,18,25,3,5,8,0,0,0,10,23,33
Samuel Bolduc,0773,0,0,0,1,7,8,0,0,0,0,0,0,1,7,8
Olle Lycksell,0774,0,0,0,0,0,0,0,0,0,5,7,12,5,7,12
Arthur Kaliyev,0775,8,10,18,20,14,34,21,22,43,4,30,34,53,76,129
Ethan Bear,0785,3,12,15,9,23,32,5,20,25,8,21,29,25,76,101
Liam Foudy,0787,3,3,6,15,20,35,7,10,17,0,0,0,25,33,58
Matt Luff,0791,2,6,8,11,17,28,0,0,0,0,0,0,13,23,36
Adam Beckman,0793,6,4,10,7,9,16,0,0,0,0,0,0,13,13,26
Daniil Miromanov,0799,0,0,0,0,0,0,0,0,0,2,20,22,2,20,22
Justin Kirkland,0800,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8
Dryden Hunt,0801,4,1,5,12,18,30,5,13,18,9,8,17,30,40,70
Brennan Othmann,0803,0,0,0,0,0,0,0,0,0,10,11,21,10,11,21
Mackenzie Entwistle,0814,0,0,0,13,5,18,0,0,0,9,10,19,22,15,37
Jack Studnicka,0815,2,3,5,8,25,33,8,10,18,0,0,0,18,38,56
Tobias Björnfot,0816,1,12,13,4,13,17,4,13,17,0,0,0,9,38,47
Nolan Foote,0819,3,5,8,5,12,17,0,0,0,10,13,23,18,30,48
Trevor Carrick,0821,4,7,11,0,0,0,0,0,0,0,0,0,4,7,11
Juuso Valimaki,0831,1,7,8,8,8,16,1,10,11,2,13,15,12,38,50
Givani Smith,0832,0,0,0,0,0,0,11,14,25,4,25,29,15,39,54
Joel Nystrom,0834,0,0,0,2,11,13,0,0,0,0,0,0,2,11,13
Ryan Suzuki,0836,0,0,0,6,10,16,0,0,0,0,0,0,6,10,16
Cal Foote,0838,2,4,6,5,7,12,0,0,0,0,0,0,7,11,18
Zach Aston-Reese,0846,11,10,21,14,14,28,0,0,0,0,0,0,25,24,49
Luca Del Bel Belluz,0847,0,0,0,0,0,0,0,0,0,9,9,18,9,9,18
Hudson Fasching,0848,0,0,0,0,0,0,9,6,15,0,0,0,9,6,15
Dysin Mayo,0849,0,0,0,6,4,10,0,0,0,0,0,0,6,4,10
Will Butcher,0855,1,13,14,6,17,23,6,11,17,0,0,0,13,41,54
Mitchell Stephens,0866,3,7,10,9,17,26,0,0,0,0,0,0,12,24,36
Gavin Brindley,0872,0,0,0,0,0,0,6,11,17,2,6,8,8,17,25
Alex Barré-Boulet,0873,2,1,3,6,16,22,0,0,0,4,16,20,12,33,45
Jacob MacDonald,0874,0,0,0,2,7,9,0,0,0,2,4,6,4,11,15
Ivan Ivan,0875,0,0,0,0,0,0,0,0,0,6,6,12,6,6,12
T.J. Tynan,0878,0,0,0,0,0,0,10,18,28,0,0,0,10,18,28
Valtteri Puustinen,0886,0,0,0,0,0,0,11,9,20,0,0,0,11,9,20
Erik Gustafsson,0891,2,10,12,5,20,25,7,30,37,7,10,17,21,70,91
William Lagesson,0892,0,0,0,0,0,0,0,0,0,1,5,6,1,5,6
Austin Watson,0895,0,0,0,14,16,30,6,8,14,1,15,16,21,39,60
John Leonard,0896,4,3,7,4,15,19,0,0,0,0,0,0,8,18,26
Sheldon Dries,0899,0,0,0,0,0,0,9,5,14,0,0,0,9,5,14
Trey Fix-Wolansky,0907,0,0,0,0,0,0,0,0,0,5,15,20,5,15,20
Connor Mackey,0911,0,0,0,4,10,14,0,0,0,0,0,0,4,10,14
Anton Blidh,0912,0,0,0,0,0,0,6,6,12,0,0,0,6,6,12
Alexander Holtz,0916,6,8,14,15,24,39,15,32,47,14,26,40,50,90,140
Dylan Coghlan,0917,0,7,7,4,16,20,4,7,11,1,5,6,9,35,44
Raphael Lavoie,0918,10,6,16,18,18,36,0,0,0,0,0,0,28,24,52
Jaycob Megna,0919,0,0,0,4,12,16,0,0,0,0,0,0,4,12,16
Jonas Røndbjerg,0920,0,0,0,10,15,25,0,0,0,0,0,0,10,15,25
Tanner Laczynski,0923,0,0,0,9,10,19,0,0,0,0,0,0,9,10,19
Brett Leason,0931,3,3,6,11,14,25,6,7,13,6,12,18,26,36,62
Sonny Milano,0932,10,0,10,9,26,35,12,32,44,9,19,28,40,77,117
Nicolas Aube-Kubel,0943,0,0,0,19,25,44,14,16,30,9,9,18,42,50,92
Tyler Pitlick,0944,0,0,0,10,25,35,0,0,0,0,0,0,10,25,35
Dylan Gambrell,0945,7,12,19,13,16,29,10,16,26,0,0,0,30,44,74
Carson Lambos,0947,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6
Matt Kiersted,0949,0,0,0,5,7,12,0,0,0,0,0,0,5,7,12
Oskar Olausson,0952,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7
Jean-Luc Foudy,0955,0,0,0,12,10,22,0,0,0,0,0,0,12,10,22
Sammy Blais,0956,1,4,5,6,19,25,11,20,31,8,23,31,26,66,92
Joshua Roy,0959,0,0,0,0,0,0,12,9,21,0,16,16,12,25,37
Sean Farrell,0965,0,0,0,0,0,0,4,18,22,0,0,0,4,18,22
Philip Tomasino,0972,4,7,11,12,31,43,16,20,36,11,16,27,43,74,117
David Jiricek,0973,0,0,0,2,9,11,2,15,17,5,11,16,9,35,44
Anthony Richard,0974,0,0,0,0,0,0,0,0,0,8,13,21,8,13,21
Helge Grans,0975,0,0,0,2,10,12,0,0,0,0,0,0,2,10,12
Zayde Wisdom,0982,0,0,0,10,8,18,0,0,0,0,0,0,10,8,18
Boris Katchouk,0984,1,7,8,6,13,19,7,12,19,8,14,22,22,46,68
David Gustafsson,0989,3,2,5,11,9,20,16,8,24,6,8,14,36,27,63
Ville Heinola,0990,0,0,0,7,17,24,3,18,21,0,0,0,10,35,45
Jaret Anderson-Dolan,0991,0,0,0,10,6,16,19,20,39,0,0,0,29,26,55
Phillip Di Giuseppe,0992,0,0,0,0,0,0,12,23,35,8,16,24,20,39,59
Mason Shaw,0993,0,0,0,7,14,21,9,8,17,0,0,0,16,22,38
Samuel Fagemo,0994,0,0,0,16,12,28,0,0,0,0,0,0,16,12,28
Kale Clague,0995,0,3,3,6,14,20,4,11,15,0,0,0,10,28,38
Walker Duehr,1000,0,0,0,0,0,0,0,0,0,4,5,9,4,5,9
Jordan Oesterle,1005,0,0,0,2,14,16,0,0,0,0,0,0,2,14,16
Kyle Burroughs,1014,0,0,0,2,5,7,0,0,0,2,9,11,4,14,18
Logan Brown,1016,3,2,5,10,16,26,11,13,24,0,0,0,24,31,55
Nicolas Alexandrov,1017,0,0,0,3,12,15,0,0,0,0,0,0,3,12,15
Jan Jeník,1019,0,0,0,8,12,20,0,0,0,0,0,0,8,12,20
Glenn Gawdin,1025,3,1,4,13,11,24,0,0,0,0,0,0,16,12,28
Matthew Poitras,1029,0,0,0,0,0,0,10,32,42,11,13,24,21,45,66
Patrick Brown,1030,0,0,0,1,11,12,0,0,0,0,0,0,1,11,12
Riley Tufte,1031,2,6,8,13,10,23,0,0,0,0,0,0,15,16,31
Fabian Lysell,1032,0,0,0,0,0,0,0,0,0,8,6,14,8,6,14
Victor Söderström,1036,0,10,10,5,14,19,8,13,21,0,0,0,13,37,50
Zac Jones,1044,0,0,0,10,18,28,0,0,0,5,21,26,15,39,54
Jake Leschyshyn,1047,2,5,7,8,5,13,0,0,0,0,0,0,10,10,20
Gavin Bayreuther,1050,0,0,0,5,7,12,0,0,0,0,0,0,5,7,12
Jack Rathbone,1053,2,4,6,4,19,23,5,20,25,0,0,0,11,43,54
Olivier Nadeau,1056,2,7,9,0,0,0,0,0,0,0,0,0,2,7,9
Brett Seney,1058,3,3,6,10,9,19,0,0,0,0,0,0,13,12,25
Joey Anderson,1059,4,9,13,12,14,26,6,11,17,0,0,0,22,34,56
Rem Pitlick,1063,3,3,6,10,30,40,0,0,0,0,0,0,13,33,46
Ryan Mast,1065,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Sam Colangelo,1068,0,0,0,0,0,0,5,9,14,12,13,25,17,22,39
Tyson Hinds,1070,0,0,0,1,2,3,0,0,0,0,0,0,1,2,3
Matthew Phillips,1071,0,0,0,0,0,0,10,10,20,4,12,16,14,22,36
Justin Bailey,1073,11,10,21,9,13,22,0,0,0,0,0,0,20,23,43
Ryan Carpenter,1074,0,0,0,0,0,0,13,18,31,0,0,0,13,18,31
Jan Mysak,1075,0,0,0,6,4,10,0,0,0,0,0,0,6,4,10
Oliver Wahlstrom,1084,25,21,46,23,34,57,19,33,52,0,0,0,67,88,155
Colin White,1091,8,8,16,22,26,48,7,13,20,0,0,0,37,47,84
Zach Dean,1096,0,0,0,0,0,0,0,0,0,0,12,12,0,12,12
Dillon Dubé,1097,12,10,22,17,29,46,9,19,28,0,0,0,38,58,96
Calle Rosen,1098,0,0,0,6,15,21,0,0,0,0,0,0,6,15,21
Akil Thomas,1099,0,0,0,6,4,10,0,0,0,0,0,0,6,4,10
Thomas Bordeleau,1101,0,0,0,0,0,0,7,11,18,0,0,0,7,11,18
Julien Gauthier,1106,4,3,7,14,9,23,17,20,37,0,0,0,35,32,67
Conor Geekie,1107,0,0,0,0,0,0,0,0,0,7,14,21,7,14,21
Mitchell Chaffee,1108,0,0,0,0,0,0,0,0,0,2,12,14,2,12,14
Jakob Pelletier,1109,0,0,0,0,0,0,10,19,29,0,0,0,10,19,29
Ian Mitchell,1110,2,19,21,4,14,18,13,15,28,0,0,0,19,48,67
Vladislav Kolyachonok,1120,0,0,0,4,7,11,0,0,0,0,0,0,4,7,11
Kole Lind,1121,3,1,4,8,16,24,5,9,14,0,0,0,16,26,42
Dakota Mermis,1130,0,0,0,0,0,0,0,0,0,3,8,11,3,8,11
Henry Thrun,1131,0,0,0,0,0,0,0,0,0,4,10,14,4,10,14
Travis Boyd,1132,0,0,0,16,16,32,12,19,31,8,16,24,36,51,87
Vinni Lettieri,1133,0,0,0,0,0,0,0,0,0,7,12,19,7,12,19
Matt Benning,1135,0,0,0,2,14,16,8,19,27,0,0,0,10,33,43
Alexander Nylander,1137,13,22,35,11,19,30,8,11,19,0,0,0,32,52,84
Scott Perunovich,1145,0,0,0,9,21,30,3,13,16,1,7,8,13,41,54
Maveric Lamoureux,1147,0,0,0,0,0,0,0,0,0,2,11,13,2,11,13
Kevin Rooney,1149,0,0,0,9,21,30,0,0,0,0,0,0,9,21,30
Tyler Tullio,1153,0,0,0,4,13,17,0,0,0,0,0,0,4,13,17
Seamus Casey,1161,0,0,0,0,0,0,0,0,0,5,13,18,5,13,18
Calen Addison,1164,0,0,0,8,17,25,4,15,19,0,0,0,12,32,44
Mike Hardman,1172,0,0,0,9,11,20,0,0,0,0,0,0,9,11,20
Ryan Graves,1174,4,11,15,11,19,30,6,14,20,8,19,27,29,63,92
Sebastian J. Aho,1175,0,0,0,4,20,24,0,0,0,0,4,4,4,24,28
Rutger McGroarty,1176,0,0,0,0,0,0,0,0,0,1,15,16,1,15,16
Alexander Alexeyev,1177,2,5,7,8,15,23,1,13,14,1,11,12,12,44,56
Rafaël Harvey-Pinard,1180,0,0,0,0,0,0,12,21,33,11,10,21,23,31,54
Oskar Lindblom,1197,18,23,41,17,26,43,15,22,37,12,26,38,62,97,159
Nicklas Backstrom,1198,7,28,35,15,41,56,0,0,0,0,0,0,22,69,91
Axel Jonsson Fjällby,1199,0,0,0,13,12,25,22,12,34,3,28,31,38,52,90
Robert Hagg,1200,1,5,6,4,24,28,5,10,15,0,0,0,10,39,49
Kieffer Bellows,1201,4,5,9,8,10,18,0,0,0,0,0,0,12,15,27
Jakob Silfverberg,1203,12,7,19,16,23,39,17,20,37,10,13,23,55,63,118
Johan Larsson,1204,0,0,0,13,20,33,0,0,0,0,0,0,13,20,33
Michal Kempny,1205,0,0,0,7,15,22,0,0,0,0,0,0,7,15,22
Oliver Kylington,1210,2,14,16,8,27,35,4,15,19,6,12,18,20,68,88
Gustav Lindström,1211,1,5,6,2,14,16,4,11,15,3,14,17,10,44,54
Joe Snively,1212,0,0,0,14,6,20,0,0,0,0,0,0,14,6,20
Arttu Ruotsalainen,1232,2,4,6,15,24,39,0,0,0,0,0,0,17,28,45
Gabriel Carlsson,1237,0,0,0,2,13,15,0,0,0,0,0,0,2,13,15
Radim Zohorna,1238,0,0,0,0,0,0,7,13,20,8,11,19,15,24,39
Filip Roos,1241,0,0,0,3,13,16,0,0,0,0,0,0,3,13,16
Aleksi Heponiemi,1248,0,0,0,10,27,37,0,0,0,0,0,0,10,27,37
Santeri Hatakka,1250,4,10,14,4,8,12,0,0,0,0,0,0,8,18,26
Gabriel Fortier,1260,0,0,0,12,9,21,0,0,0,0,0,0,12,9,21
Jakub Vrana,1262,28,25,53,19,32,51,14,14,28,9,18,27,70,89,159
Janne Kuokkanen,1279,10,9,19,7,17,24,6,14,20,8,12,20,31,52,83
Topi Niemelä,1280,0,0,0,4,10,14,0,0,0,0,0,0,4,10,14
Robin Salo,1281,2,5,7,3,12,15,3,19,22,0,0,0,8,36,44
Calvin de Haan,1287,2,11,13,8,10,18,3,9,12,7,5,12,20,35,55
Karson Kuhlman,1289,0,0,0,11,11,22,11,10,21,0,0,0,22,21,43
Andreas Johnsson,1297,17,19,36,15,46,61,28,15,43,4,8,12,64,88,152
Jonathan Pudas,1299,0,0,0,0,0,0,0,0,0,2,18,20,2,18,20
Jonathan Dahlén,1308,2,4,6,10,22,32,14,17,31,0,0,0,26,43,69
Otto Koivula,1319,5,5,10,9,10,19,0,0,0,0,0,0,14,15,29
Jesse Ylönen,1322,3,3,6,15,11,26,8,8,16,6,18,24,32,40,72
Sampo Ranta,1323,2,4,6,17,9,26,0,0,0,0,0,0,19,13,32
Sami Vatanen,1335,0,0,0,2,11,13,0,0,0,0,0,0,2,11,13
Jani Hakanpää,1349,0,0,0,4,13,17,6,11,17,5,7,12,15,31,46
Aleksi Saarela,1360,4,2,6,9,15,24,0,0,0,0,0,0,13,17,30
Tarmo Reunanen,1361,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8
Madison Bowey,1369,0,6,6,5,14,19,0,0,0,0,0,0,5,20,25
Justin Braun,1371,0,0,0,3,11,14,9,6,15,0,0,0,12,17,29
C.J. Suess,1372,0,0,0,10,6,16,0,0,0,0,0,0,10,6,16
Taro Hirose,1376,0,0,0,6,12,18,9,20,29,0,0,0,15,32,47
Markus Niemeläinen,1391,0,0,0,1,12,13,0,0,0,0,0,0,1,12,13
Markus Nutivaara,1406,0,0,0,5,17,22,0,0,0,0,0,0,5,17,22
Wade Allison,1424,6,16,22,15,20,35,9,17,26,0,0,0,30,53,83
Jasper Weatherby,1434,4,1,5,5,9,14,0,0,0,2,9,11,11,19,30
Jakub Lauko,1438,0,4,4,10,5,15,8,7,15,0,0,0,18,16,34
Roman Cervenka,1440,0,0,0,0,0,0,4,26,30,0,0,0,4,26,30
Martin Kaut,1441,2,1,3,12,9,21,0,0,0,0,0,0,14,10,24
Lukas Sedlak,1442,0,0,0,7,11,18,0,0,0,0,0,0,7,11,18
Libor Hajek,1447,0,9,9,4,9,13,3,11,14,0,0,0,7,29,36
Michael Spacek,1463,0,0,0,0,0,0,0,0,0,1,15,16,1,15,16
Kristian Vesalainen,1464,15,3,18,11,10,21,0,0,0,0,0,0,26,13,39
Mark Pysyk,1465,0,0,0,4,18,22,3,12,15,0,0,0,7,30,37
Devin Shore,1467,0,0,0,13,14,27,0,0,0,0,0,0,13,14,27
Ondrej Kase,1472,19,19,38,16,23,39,15,24,39,0,0,0,50,66,116
Jakub Zboril,1476,1,4,5,7,9,16,0,0,0,0,0,0,8,13,21
Samuel Knazko,1477,0,0,0,4,4,8,0,0,0,0,0,0,4,4,8
Lias Andersson,1498,2,1,3,10,12,22,0,0,0,0,0,0,12,13,25
Tomas Tatar,1503,18,18,36,11,32,43,18,15,33,12,37,49,59,102,161
Dominik Kubalík,1504,18,28,46,21,32,53,29,26,55,6,16,22,74,102,176
Jimmy Vesey,1511,0,0,0,16,12,28,9,17,26,7,19,26,32,48,80
Jan Rutta,1512,0,0,0,10,11,21,10,7,17,6,11,17,26,29,55
Jesse Puljujarvi,1513,16,13,29,15,30,45,0,0,0,0,0,0,31,43,74
Derrick Brassard,1516,0,0,0,18,32,50,0,0,0,0,0,0,18,32,50
Tim Berni,1520,0,0,0,0,0,0,7,14,21,0,0,0,7,14,21
Pierre-Edouard Bellemare,1521,0,0,0,17,16,33,12,13,25,9,9,18,38,38,76
Anttoni Honka,1522,0,0,0,3,4,7,0,0,0,0,0,0,3,4,7
Chris Tierney,1526,11,12,23,20,21,41,9,18,27,0,0,0,40,51,91
Alex Formenton,1530,0,0,0,22,14,36,19,10,29,0,0,0,41,24,65
Filip Zadina,1531,17,22,39,15,26,41,16,21,37,11,50,61,59,119,178
Brendan Lemieux,1532,5,4,9,13,9,22,0,0,0,6,17,23,24,30,54
Rasmus Asplund,1534,0,0,0,13,25,38,9,13,22,0,0,0,22,38,60
Henrik Borgstrom,1541,3,3,6,18,18,36,0,0,0,0,0,0,21,21,42
Patrik Nemeth,1542,0,0,0,2,19,21,4,14,18,0,0,0,6,33,39
Rasmus Kupari,1546,7,5,12,16,13,29,0,0,0,0,10,10,23,28,51
Zach Sanford,1549,13,5,18,8,22,30,0,0,0,0,0,0,21,27,48
Brendan Perlini,1551,8,11,19,13,21,34,0,0,0,0,0,0,21,32,53
Erik Brännstrom,1556,4,9,13,4,16,20,4,13,17,3,11,14,15,49,64
Dominik Kahun,1557,3,4,7,7,24,31,0,0,0,7,10,17,17,38,55
Sami Niku,1558,0,0,0,0,0,0,0,0,0,2,7,9,2,7,9
Austin Czarnik,1559,0,0,0,0,0,0,12,15,27,0,0,0,12,15,27
Antti Suomela,1560,0,0,0,0,0,0,7,21,28,0,0,0,7,21,28
Drake Caggiula,1561,0,0,0,5,11,16,0,0,0,0,0,0,5,11,16
Victor Rask,1567,0,0,0,20,24,44,0,0,0,0,0,0,20,24,44
Lawrence Pilut,1569,0,0,0,4,16,20,0,0,0,0,0,0,4,16,20
Emil Bemström,1572,3,5,8,13,20,33,12,5,17,12,12,24,40,42,82
Denis Malgin,1586,0,0,0,20,20,40,7,30,37,5,11,16,32,61,93
Dean Kukan,1589,0,0,0,6,20,26,0,0,0,0,0,0,6,20,26
Rudolfs Balcers,1591,18,11,29,14,27,41,0,0,0,0,0,0,32,38,70
Derek Grant,1592,0,0,0,15,27,42,9,21,30,0,0,0,24,48,72
Pontus Aberg,1593,5,10,15,10,17,27,0,0,0,0,0,0,15,27,42
Marcus Björk,1631,0,0,0,0,0,0,4,13,17,1,5,6,5,18,23
Jeff Skinner,1659,0,0,0,22,37,59,22,30,52,21,24,45,65,91,156
