Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Alexandre Texier,0351,6,18,24,12,36,48,13,21,34,19,8,27,50,83,133
Joe Veleno,0352,4,7,11,17,25,42,16,35,51,5,25,30,42,92,134
Arber Xhekaj,0353,0,0,0,3,4,7,4,3,7,3,9,12,10,16,26
Roman Josi,0354,12,23,35,11,60,71,11,50,61,16,27,43,50,160,210
Filip Forsberg,0355,25,21,46,32,40,72,40,43,83,39,34,73,136,138,274
Ryan O'Reilly,0356,22,27,49,31,32,63,20,39,59,21,30,51,94,128,222
Brady Skjei,0357,2,11,13,5,15,20,5,26,31,12,31,43,24,83,107
Steven Stamkos,0358,19,23,42,33,47,80,35,38,73,21,39,60,108,147,255
Jonathan Marchessault,0359,22,30,52,23,46,69,18,63,81,38,45,83,101,184,285
Luke Evangelista,0360,0,0,0,0,0,0,7,33,40,11,21,32,18,54,72
Nicolas Hague,0361,4,12,16,11,22,33,7,22,29,7,22,29,29,78,107
Erik Haula,0362,17,20,37,13,27,40,15,29,44,13,34,47,58,110,168
Nick Perbix,0363,0,0,0,0,17,17,4,8,12,6,19,25,10,44,54
Justin Barron,0364,1,6,7,0,0,0,6,13,19,3,23,26,10,42,52
Matthew Wood,0365,0,0,0,0,0,0,0,0,0,6,11,17,6,11,17
Fedor Svechkov,0366,0,0,0,0,0,0,0,0,0,3,10,13,3,10,13
Zachary L'Heureux,0368,0,0,0,0,0,0,0,0,0,1,16,17,1,16,17
Tyson Jost,0370,3,7,10,18,22,40,14,14,28,7,11,18,42,54,96
Jack Hughes,0374,27,23,50,25,47,72,27,49,76,47,33,80,126,152,278
Jesper Bratt,0375,12,26,38,26,39,65,33,50,83,51,22,73,122,137,259
Nico Hischier,0376,22,34,56,9,32,41,10,38,48,37,23,60,78,127,205
Dougie Hamilton,0377,10,21,31,16,61,77,15,36,51,11,43,54,52,161,213
Jonas Siegenthaler,0378,0,0,0,6,10,16,6,12,18,9,44,53,21,66,87
Brett Pesce,0379,2,20,22,10,27,37,10,8,18,12,33,45,34,88,122
Luke Hughes,0380,0,0,0,0,0,0,8,23,31,10,39,49,18,62,80
Timo Meier,0381,18,22,40,33,42,75,39,39,78,27,42,69,117,145,262
Brenden Dillon,0382,0,4,4,3,13,16,5,15,20,6,38,44,14,70,84
Simon Nemec,0383,0,0,0,0,0,0,7,19,26,3,18,21,10,37,47
Dawson Mercer,0384,20,22,42,19,31,50,15,44,59,8,25,33,62,122,184
Jonathan Kovacevic,0385,0,0,0,8,6,14,0,0,0,3,27,30,11,33,44
Nick Bjugstad,0386,0,0,0,18,18,36,16,24,40,14,24,38,48,66,114
Cody Glass,0387,9,15,24,13,32,45,16,17,33,16,8,24,54,72,126
Stefan Noesen,0388,1,6,7,14,10,24,13,34,47,22,29,51,50,79,129
Paul Cotter,0390,0,0,0,14,4,18,11,19,30,19,24,43,44,47,91
Connor Brown,0391,14,10,24,21,28,49,16,17,33,14,27,41,65,82,147
Maxim Tsyplakov,0392,0,0,0,0,0,0,0,0,0,18,18,36,18,18,36
Evgenii Dadonov,0393,8,15,23,20,27,47,26,24,50,11,26,37,65,92,157
Zack MacEwen,0394,0,0,0,13,20,33,8,4,12,1,10,11,22,34,56
Dennis Cholowski,0397,1,16,17,6,7,13,0,0,0,0,0,0,7,23,30
Bo Horvat,0399,21,24,45,27,38,65,28,34,62,27,48,75,103,144,247
Adam Pelech,0401,0,17,17,6,24,30,4,16,20,9,34,43,19,91,110
Ryan Pulock,0402,6,22,28,13,20,33,17,15,32,10,42,52,46,99,145
Mathew Barzal,0403,31,40,71,21,54,75,16,54,70,28,25,53,96,173,269
Brayden Schenn,0404,18,15,33,14,31,45,14,36,50,22,27,49,68,109,177
Anders Lee,0405,13,14,27,16,31,47,21,22,43,24,31,55,74,98,172
Kyle Palmieri,0406,15,10,25,29,31,60,14,25,39,23,33,56,81,99,180
Alexander Romanov,0407,0,7,7,7,16,23,2,22,24,7,23,30,16,68,84
Simon Holmström,0408,0,0,0,9,13,22,14,20,34,26,32,58,49,65,114
Scott Mayfield,0409,1,14,15,4,15,19,6,20,26,3,6,9,14,55,69
